,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1089335,1089335,sucursales,1,-34.8519579,-58.5222721,80 - EZEIZA,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl French 202,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
1089336,1089336,sucursales,1,-24.769449,-65.443309,8003 - SALTA,7790070507242,Autoservicio,AR-A,,,158.1,,,True,Gral Savio Cruce Av Juan Domingo Peron ,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089337,1089337,sucursales,1,-24.7814935,-65.4143692,8005 - SALTA,7790070507242,Autoservicio,AR-A,,,158.1,,,True,25 De Mayo 652 ,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089338,1089338,sucursales,1,-24.7869634,-65.4323303,8006 - SALTA,7790070507242,Autoservicio,AR-A,,,158.1,,,True,España 2195,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089339,1089339,sucursales,1,-24.8034671,-65.4373408,8008 - SALTA,7790070507242,Autoservicio,AR-A,,,158.1,,,True,Miguel De Azcuenaga 2295,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089340,1089340,sucursales,1,-24.9856165,-65.5777397,8009 - SALTA,7790070507242,Autoservicio,AR-A,,,158.1,,,True,Sarmiento Esquina Torino ,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089341,1089341,sucursales,1,-24.7880714,-65.4219001,8013 - SALTA,7790070507242,Autoservicio,AR-A,,,158.1,,,True,Brown 70,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089342,1089342,sucursales,1,-25.4987985,-64.9705319,8014 - METAN,7790070507242,Autoservicio,AR-A,,,158.1,,,True,Jose Ignacio Sierra 126,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089343,1089343,sucursales,1,-24.8857,-65.469513,8016 - SALTA,7790070507242,Autoservicio,AR-A,,,158.1,,,True,Juan Manuel De Rosas Esquina Balbin ,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089344,1089344,sucursales,1,-24.7947076,-65.4322727,803 - SALTA,7790070507242,Autoservicio,AR-A,,,158.1,,,True,Olavarria 506 (Salta Capital) ,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089345,1089345,sucursales,1,-24.808249,-65.399047,806 - SALTA,7790070507242,Autoservicio,AR-A,,,158.1,,,True,Av Independencia 1325 (Salta Capital) ,Supermercados DIA,SALTA,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 0
1089346,1089346,sucursales,1,-34.4195453,-58.7286033,81 - GARIN,7790070507242,Autoservicio,AR-B,,,152.02,,,True,Cl Belgrano 664,Supermercados DIA,BUENOS AIRES,DIA Argentina S.A,15,FAVORITA,Harina 0000 Vitazink Favorita 1 Kg,1.0 kg,2022-08-25,Cluster 4
