,Unnamed: 0,key,bandera_id,lat,lng,sucursalnombre,id_,sucursaltipo,provincia,promo1_descripcion,promo1_precio,preciolista,promo2_descripcion,promo2_precio,actualizadohoy,direccion,banderadescripcion,localidad,comerciorazonsocial,comercioid,marca,nombre,presentacion,fecha,Cluster
1078753,1078753,sucursales,3,-34.657114,-58.51818,Montiel 1718,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Montiel 1718,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078754,1078754,sucursales,3,-34.641982,-58.514266,Larrazábal 265,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Larrazábal 265,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078755,1078755,sucursales,3,-34.573102,-58.451281,Conesa 999,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Conesa 999,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078756,1078756,sucursales,3,-34.574055,-58.420475,Juan Seguí 4524,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Juan Seguí 4524,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078757,1078757,sucursales,3,-34.615032,-58.409057,Av. Belgrano 3043,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Belgrano 3043,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078758,1078758,sucursales,3,-34.617182,-58.467454,Gaona 2964,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Gaona 2964,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078759,1078759,sucursales,3,-34.650719,-58.490753,Directorio 4989,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Directorio 4989,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078760,1078760,sucursales,3,-34.599909,-58.363959,Juana Manso 199,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Juana Manso 199,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078761,1078761,sucursales,3,-34.575503,-58.535853,Yapeyú 2059,7790387015324,Autoservicio,AR-B,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Yapeyú 2059,Express,San Martín,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078762,1078762,sucursales,3,-34.617774,-58.438367,Hidalgo 92,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Hidalgo 92,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078763,1078763,sucursales,3,-34.565978,-58.45841,Sucre 2774,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Sucre 2774,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078764,1078764,sucursales,3,-34.68944,-58.479593,Av. Chilavert 6901,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Av. Chilavert 6901,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078765,1078765,sucursales,3,-34.632213,-58.491184,Carrasco 421,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Carrasco 421,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078766,1078766,sucursales,3,-34.567072,-58.454065,Virrey del Pino 2527,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Virrey Del Pino 2527,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078767,1078767,sucursales,3,-34.616166,-58.376096,Chile 701,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Chile 701,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078768,1078768,sucursales,3,-34.609409,-58.486038,Álvarez Jonte 3079,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Álvarez Jonte 3079,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
1078769,1078769,sucursales,3,-34.628317,-58.524049,Arregui 6369,7790387015324,Autoservicio,AR-C,Promo A valida desde el 23/08/2022 hasta 29/08/2022,393.75,396.0,,,True,Arregui 6369,Express,Ciudad Autónoma de Buenos Aires,INC S.A.,10,MAÑANITA,Yerba Mate Bajo Polvo 4 Flex Mañanita 500 Gr,500.0 gr,2022-08-25,Cluster 2
